year,month,E_index,C_index
2000,1,-0.68839,-1.97683
2000,2,-0.1253,-2.10005
2000,3,0.44548,-2.01999
2000,4,0.97217,-2.12256
2000,5,0.58162,-1.86006
2000,6,-0.00814,-1.3402
2000,7,-0.16609,-1.02706
2000,8,-0.31075,-0.82245
2000,9,-0.09257,-0.75578
2000,10,-0.09066,-0.98636
2000,11,-0.53401,-0.92415
2000,12,-0.20885,-1.24427
2001,1,0.0359,-1.2067
2001,2,0.20385,-1.17729
2001,3,0.62745,-1.2088
2001,4,0.52571,-1.13831
2001,5,-0.03637,-0.61986
2001,6,-0.4438,-0.17571
2001,7,-0.49016,0.14714
2001,8,-0.59572,0.28608
2001,9,-1.1384,0.47659
2001,10,-1.05917,0.45
2001,11,-1.11549,0.22616
2001,12,-0.99198,0.1253
2002,1,-1.00997,0.49162
2002,2,-0.56008,0.43151
2002,3,0.23653,0.0698
2002,4,-0.03769,0.23714
2002,5,-0.07328,0.60904
2002,6,0.09744,0.80735
2002,7,-0.25823,0.91499
2002,8,-0.12743,0.93587
2002,9,0.37267,0.85092
2002,10,0.59014,0.85709
2002,11,0.86764,1.038
2002,12,0.80691,1.06335
2003,1,0.15769,0.84459
2003,2,-0.26844,1.09686
2003,3,-0.43684,0.99819
2003,4,-0.96567,0.61833
2003,5,-1.55203,0.31217
2003,6,-1.18436,0.42007
2003,7,-0.56194,0.5276
2003,8,-0.0164,0.34791
2003,9,-0.30743,0.53726
2003,10,0.0927,0.55355
2003,11,0.37035,0.4439
2003,12,0.30579,0.49039
2004,1,-0.03937,0.58541
2004,2,-0.11196,0.51873
2004,3,-0.36139,0.28586
2004,4,-0.40843,0.24706
2004,5,-1.22852,0.60696
2004,6,-0.89398,0.60714
2004,7,-0.73936,0.82388
2004,8,-0.65213,1.12642
2004,9,-0.34569,1.18185
2004,10,-0.07408,1.06594
2004,11,0.23338,0.90071
2004,12,0.12996,1.06812
2005,1,-0.45196,1.32012
2005,2,-0.99322,1.12919
2005,3,-1.08063,1.20268
2005,4,-0.54303,0.70973
2005,5,-0.23041,0.43725
2005,6,-0.31971,0.28202
2005,7,0.07917,-0.2319
2005,8,0.01832,-0.05355
2005,9,-0.45293,0.18053
2005,10,-0.98609,0.32916
2005,11,-1.59238,0.07732
2005,12,-1.33536,-0.34084
2006,1,-0.46173,-0.80918
2006,2,0.43232,-1.18122
2006,3,-0.02406,-0.93794
2006,4,-0.69405,-0.20267
2006,5,-0.25888,-0.04141
2006,6,-0.16894,0.00238
2006,7,-0.03016,0.13809
2006,8,0.34364,0.39742
2006,9,0.76379,0.55811
2006,10,0.87505,0.69355
2006,11,0.71448,0.99379
2006,12,0.71753,1.01266
